rowid,studyid,site,year,phenodiff,genus,species,genus2,species2,fitnesscomp,fitnessunit,gender,fitnessvalue,fitnesstype
495,HMK016,NA,1996,33.318,Cerorhinca,monocerata,NA,NA,fledgling final mass,g,NA,338.5,growth
496,HMK016,NA,1997,61.605,Cerorhinca,monocerata,NA,NA,fledgling final mass,g,NA,257.3,growth,
497,HMK016,NA,1998,-9.334,Cerorhinca,monocerata,NA,NA,fledgling final mass,g,NA,367.3,growth,
498,HMK016,NA,1999,2.447,Cerorhinca,monocerata,NA,NA,fledgling final mass,g,NA,385.7,growth,
499,HMK016,NA,2000,12.706,Cerorhinca,monocerata,NA,NA,fledgling final mass,g,NA,288.9,growth,
500,HMK016,NA,2001,-10.691,Cerorhinca,monocerata,NA,NA,fledgling final mass,g,NA,350,growth,
501,HMK016,NA,2002,-26.433,Cerorhinca,monocerata,NA,NA,fledgling final mass,g,NA,423.7,growth,
502,HMK016,NA,2003,NA,Cerorhinca,monocerata,NA,NA,fledgling final mass,g,NA,401.4,growth,
503,HMK016,NA,2004,NA,Cerorhinca,monocerata,NA,NA,fledgling final mass,g,NA,347.8,growth,
504,HMK016,NA,2005,20.029,Cerorhinca,monocerata,NA,NA,fledgling final mass,g,NA,373.8,growth,
505,HMK016,NA,2006,22.04,Cerorhinca,monocerata,NA,NA,fledgling final mass,g,NA,312,growth,
506,HMK016,NA,2007,NA,Cerorhinca,monocerata,NA,NA,fledgling final mass,g,NA,342.7,growth,
507,HMK016,NA,2008,NA,Cerorhinca,monocerata,NA,NA,fledgling final mass,g,NA,307.3,growth,
508,HMK039,NA,1973,-3.236,Guillemots,spp.,NA,NA,abundance,number,NA,7.57692,demographic,
509,HMK039,NA,1974,-5,Guillemots,spp.,NA,NA,abundance,number,NA,7.55385,demographic,
510,HMK039,NA,1975,4.707,Guillemots,spp.,NA,NA,abundance,number,NA,7.54231,demographic,
511,HMK039,NA,1976,2.059,Guillemots,spp.,NA,NA,abundance,number,NA,7.68077,demographic,
512,HMK039,NA,1978,-2.059,Guillemots,spp.,NA,NA,abundance,number,NA,7.64615,demographic,
513,HMK039,NA,1979,-1.471,Guillemots,spp.,NA,NA,abundance,number,NA,7.20769,demographic,
514,HMK039,NA,1980,-1.471,Guillemots,spp.,NA,NA,abundance,number,NA,6.80385,demographic,
515,HMK039,NA,1981,-8.529,Guillemots,spp.,NA,NA,abundance,number,NA,7,demographic,
516,HMK039,NA,1982,-2.06,Guillemots,spp.,NA,NA,abundance,number,NA,7.35769,demographic,
517,HMK039,NA,1983,-5.295,Guillemots,spp.,NA,NA,abundance,number,NA,6.74615,demographic,
518,HMK039,NA,1984,-3.236,Guillemots,spp.,NA,NA,abundance,number,NA,7.19615,demographic,
519,HMK039,NA,1985,-3.529,Guillemots,spp.,NA,NA,abundance,number,NA,7.41538,demographic,
520,HMK039,NA,1986,-22.942,Guillemots,spp.,NA,NA,abundance,number,NA,7.32308,demographic,
521,HMK039,NA,1987,-15.589,Guillemots,spp.,NA,NA,abundance,number,NA,6.75769,demographic,
522,HMK039,NA,1988,-2.06,Guillemots,spp.,NA,NA,abundance,number,NA,6.81538,demographic,
523,HMK039,NA,1989,-2.646,Guillemots,spp.,NA,NA,abundance,number,NA,6.63077,demographic,
524,HMK039,NA,1990,0,Guillemots,spp.,NA,NA,abundance,number,NA,6.59615,demographic,
525,HMK039,NA,1991,-5.589,Guillemots,spp.,NA,NA,abundance,number,NA,7,demographic,
526,HMK039,NA,1992,-1.765,Guillemots,spp.,NA,NA,abundance,number,NA,7.05769,demographic,
527,HMK039,NA,1993,-19.118,Guillemots,spp.,NA,NA,abundance,number,NA,6.88462,demographic,
528,HMK039,NA,1994,-21.472,Guillemots,spp.,NA,NA,abundance,number,NA,6.65385,demographic,
529,HMK039,NA,1995,-4.118,Guillemots,spp.,NA,NA,abundance,number,NA,6.60769,demographic,
530,HMK039,NA,1996,NA,Guillemots,spp.,NA,NA,abundance,number,NA,6.51538,demographic,
531,HMK039,NA,1997,NA,Guillemots,spp.,NA,NA,abundance,number,NA,6.4,demographic,
532,HMK039,NA,1998,NA,Guillemots,spp.,NA,NA,abundance,number,NA,7.02308,demographic,
533,HMK039,NA,1999,NA,Guillemots,spp.,NA,NA,abundance,number,NA,7.39231,demographic,
534,HMK039,NA,1973,-3.236,Guillemots,spp.,NA,NA,abundance,number,NA,8.46538,demographic,
535,HMK039,NA,1974,-5,Guillemots,spp.,NA,NA,abundance,number,NA,8.56923,demographic,
536,HMK039,NA,1975,4.707,Guillemots,spp.,NA,NA,abundance,number,NA,8.58077,demographic,
537,HMK039,NA,1976,2.059,Guillemots,spp.,NA,NA,abundance,number,NA,8.71923,demographic,
538,HMK039,NA,1978,-2.059,Guillemots,spp.,NA,NA,abundance,number,NA,8.75385,demographic,
539,HMK039,NA,1979,-1.471,Guillemots,spp.,NA,NA,abundance,number,NA,8.45385,demographic,
540,HMK039,NA,1980,-1.471,Guillemots,spp.,NA,NA,abundance,number,NA,8.69615,demographic,
541,HMK039,NA,1981,-8.529,Guillemots,spp.,NA,NA,abundance,number,NA,8.70769,demographic,
542,HMK039,NA,1982,-2.06,Guillemots,spp.,NA,NA,abundance,number,NA,8.78846,demographic,
543,HMK039,NA,1983,-5.295,Guillemots,spp.,NA,NA,abundance,number,NA,8.48846,demographic,
544,HMK039,NA,1984,-3.236,Guillemots,spp.,NA,NA,abundance,number,NA,8.98462,demographic,
545,HMK039,NA,1985,-3.529,Guillemots,spp.,NA,NA,abundance,number,NA,8.96154,demographic,
546,HMK039,NA,1986,-22.942,Guillemots,spp.,NA,NA,abundance,number,NA,8.89231,demographic,
547,HMK039,NA,1987,-15.589,Guillemots,spp.,NA,NA,abundance,number,NA,7.09231,demographic,
548,HMK039,NA,1988,-2.06,Guillemots,spp.,NA,NA,abundance,number,NA,7.08077,demographic,
549,HMK039,NA,1989,-2.646,Guillemots,spp.,NA,NA,abundance,number,NA,7.20769,demographic,
550,HMK039,NA,1990,0,Guillemots,spp.,NA,NA,abundance,number,NA,7.20769,demographic,
551,HMK039,NA,1991,-5.589,Guillemots,spp.,NA,NA,abundance,number,NA,7.77308,demographic,
552,HMK039,NA,1992,-1.765,Guillemots,spp.,NA,NA,abundance,number,NA,7.83077,demographic,
553,HMK039,NA,1993,-19.118,Guillemots,spp.,NA,NA,abundance,number,NA,7.70385,demographic,
554,HMK039,NA,1994,-21.472,Guillemots,spp.,NA,NA,abundance,number,NA,7.96923,demographic,
555,HMK039,NA,1995,-4.118,Guillemots,spp.,NA,NA,abundance,number,NA,8.08462,demographic,
556,HMK039,NA,1996,NA,Guillemots,spp.,NA,NA,abundance,number,NA,7.80769,demographic,
557,HMK039,NA,1997,NA,Guillemots,spp.,NA,NA,abundance,number,NA,8.14231,demographic,
558,HMK039,NA,1998,NA,Guillemots,spp.,NA,NA,abundance,number,NA,8.09615,demographic,
559,HMK039,NA,1999,NA,Guillemots,spp.,NA,NA,abundance,number,NA,8.65,demographic,
560,HMK039,NA,1973,-3.236,Rissa1,tridactyla,NA,NA,abundance,number,NA,9.76923,demographic
561,HMK039,NA,1974,-5,Rissa1,tridactyla,NA,NA,abundance,number,NA,9.94231,demographic
562,HMK039,NA,1975,4.707,Rissa1,tridactyla,NA,NA,abundance,number,NA,10.0346,demographic
563,HMK039,NA,1976,2.059,Rissa1,tridactyla,NA,NA,abundance,number,NA,10.0577,demographic
564,HMK039,NA,1977,-2.059,Rissa1,tridactyla,NA,NA,abundance,number,NA,9.38846,demographic
565,HMK039,NA,1978,-1.471,Rissa1,tridactyla,NA,NA,abundance,number,NA,9.50385,demographic
566,HMK039,NA,1979,-1.471,Rissa1,tridactyla,NA,NA,abundance,number,NA,9.73462,demographic
567,HMK039,NA,1980,-8.529,Rissa1,tridactyla,NA,NA,abundance,number,NA,9.76923,demographic
568,HMK039,NA,1981,-2.06,Rissa1,tridactyla,NA,NA,abundance,number,NA,9.89615,demographic
569,HMK039,NA,1982,-5.295,Rissa1,tridactyla,NA,NA,abundance,number,NA,9.93077,demographic
570,HMK039,NA,1983,-3.236,Rissa1,tridactyla,NA,NA,abundance,number,NA,9.88461,demographic
571,HMK039,NA,1984,-3.529,Rissa1,tridactyla,NA,NA,abundance,number,NA,10.0923,demographic
572,HMK039,NA,1985,-22.942,Rissa1,tridactyla,NA,NA,abundance,number,NA,9.89615,demographic
573,HMK039,NA,1986,-15.589,Rissa1,tridactyla,NA,NA,abundance,number,NA,10.2423,demographic
574,HMK039,NA,1987,-2.06,Rissa1,tridactyla,NA,NA,abundance,number,NA,10.1038,demographic
575,HMK039,NA,1988,-2.646,Rissa1,tridactyla,NA,NA,abundance,number,NA,9.93077,demographic
576,HMK039,NA,1989,0,Rissa1,tridactyla,NA,NA,abundance,number,NA,9.81538,demographic
577,HMK039,NA,1990,-5.589,Rissa1,tridactyla,NA,NA,abundance,number,NA,9.91923,demographic
578,HMK039,NA,1991,-1.765,Rissa1,tridactyla,NA,NA,abundance,number,NA,9.94231,demographic
579,HMK039,NA,1992,-19.118,Rissa1,tridactyla,NA,NA,abundance,number,NA,9.87308,demographic
580,HMK039,NA,1993,-21.472,Rissa1,tridactyla,NA,NA,abundance,number,NA,9.81538,demographic
581,HMK039,NA,1994,-4.118,Rissa1,tridactyla,NA,NA,abundance,number,NA,9.88461,demographic
582,HMK039,NA,1995,NA,Rissa1,tridactyla,NA,NA,abundance,number,NA,10.1269,demographic
583,HMK039,NA,1996,NA,Rissa1,tridactyla,NA,NA,abundance,number,NA,9.83846,demographic
584,HMK039,NA,1997,NA,Rissa1,tridactyla,NA,NA,abundance,number,NA,9.64231,demographic
585,HMK039,NA,1998,NA,Rissa1,tridactyla,NA,NA,abundance,number,NA,9.96538,demographic
586,HMK039,NA,1999,NA,Rissa1,tridactyla,NA,NA,abundance,number,NA,10.0115,demographic
587,SET005,NA,1983,-31.3173,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,65.7237,growth
588,SET005,NA,1984,-29.0615,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,69.7847,growth
589,SET005,NA,1985,-27.8788,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,65.7483,growth
590,SET005,NA,1986,-24.1808,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,58.8561,growth
591,SET005,NA,1987,-18.5808,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,60.5338,growth
592,SET005,NA,1988,-18.1596,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,59.1164,growth
593,SET005,NA,1989,-17.5404,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,66.7476,growth
594,SET005,NA,1990,-17.2981,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,71.0455,growth
595,SET005,NA,1991,-14.8981,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,62.2473,growth
596,SET005,NA,1992,-12.6192,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,61.0717,growth
597,SET005,NA,1993,-12.7173,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,56.3198,growth
598,SET005,NA,1994,-12.2,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,59.4261,growth
599,SET005,NA,1995,-11.2577,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,50.6279,growth
600,SET005,NA,1996,-11.4173,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,65.8791,growth
601,SET005,NA,1997,-8.1404,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,69.4628,growth
602,SET005,NA,1998,-6.6019,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,57.8063,growth
603,SET005,NA,1999,-6.7365,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,57.3425,growth
604,SET005,NA,2000,-5.3365,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,68.5462,growth
605,SET005,NA,2001,-3.9385,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,60.9385,growth
606,SET005,NA,2002,-3.3577,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,61.4258,growth
607,SET005,NA,2003,1.0231,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,57.8655,growth
608,SET005,NA,2004,7.7212,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,49.5473,growth
609,SET005,NA,2005,8.5019,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,54.7951,growth
610,SET005,NA,2006,36.0423,Ammodytes,marinus,Uria,aalge,predicted size at mid-chick rearing date,mm,NA,52.1897,growth
611,SET005,NA,1983,-24.9231,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,69.2833,growth
612,SET005,NA,1984,-35.3846,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,72.5665,growth
613,SET005,NA,1985,-23.3846,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,67.6133,growth
614,SET005,NA,1986,-12.3077,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,60.7765,growth
615,SET005,NA,1987,-15.0769,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,60.5315,growth
616,SET005,NA,1988,-9.8462,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,60.5182,growth
617,SET005,NA,1989,-20.3077,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,67.3309,growth
618,SET005,NA,1990,-27.0769,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,72.4941,growth
619,SET005,NA,1991,-15.6923,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,64.482,growth
620,SET005,NA,1992,-15.0769,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,61.4136,growth
621,SET005,NA,1993,-9.8462,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,56.4591,growth
622,SET005,NA,1994,-12,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,59.7436,growth
623,SET005,NA,1995,-0.3077,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,54.5538,growth
624,SET005,NA,1996,-22.1538,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,68.8959,growth
625,SET005,NA,1997,-32,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,68.8863,growth
626,SET005,NA,1998,-8.6154,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,58.7541,growth
627,SET005,NA,1999,-6.1538,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,58.5092,growth
628,SET005,NA,2000,-31.0769,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,69.0854,growth
629,SET005,NA,2001,-18.7692,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,61.3062,growth
630,SET005,NA,2002,-12,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,61.06,growth
631,SET005,NA,2003,-6.1538,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,57.7551,growth
632,SET005,NA,2004,33.2308,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,49.7466,growth
633,SET005,NA,2005,0.9231,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,54.9086,growth
634,SET005,NA,2006,8.3077,Ammodytes,marinus,Alca,torda,predicted size at mid-chick rearing date,mm,NA,51.8389,growth
635,SET005,NA,1983,-16.0073,Ammodytes,marinus,Phalacrocorax,aristotelis,predicted size at mid-chick rearing date,mm,NA,64.5882,growth
636,SET005,NA,1984,-44.692,Ammodytes,marinus,Phalacrocorax,aristotelis,predicted size at mid-chick rearing date,mm,NA,77.7647,growth
637,SET005,NA,1985,-61.288,Ammodytes,marinus,Phalacrocorax,aristotelis,predicted size at mid-chick rearing date,mm,NA,88.1176,growth
638,SET005,NA,1986,-32.5641,Ammodytes,marinus,Phalacrocorax,aristotelis,predicted size at mid-chick rearing date,mm,NA,72.3529,growth
639,SET005,NA,1987,-14.9189,Ammodytes,marinus,Phalacrocorax,aristotelis,predicted size at mid-chick rearing date,mm,NA,61.2941,growth
640,SET005,NA,1988,-38.5674,Ammodytes,marinus,Phalacrocorax,aristotelis,predicted size at mid-chick rearing date,mm,NA,77.0588,growth
641,SET005,NA,1989,-35.5241,Ammodytes,marinus,Phalacrocorax,aristotelis,predicted size at mid-chick rearing date,mm,NA,78,growth
642,SET005,NA,1990,-52.121,Ammodytes,marinus,Phalacrocorax,aristotelis,predicted size at mid-chick rearing date,mm,NA,89.5294,growth
643,SET005,NA,1991,-38.504,Ammodytes,marinus,Phalacrocorax,aristotelis,predicted size at mid-chick rearing date,mm,NA,77.2941,growth
644,SET005,NA,1992,-23.3767,Ammodytes,marinus,Phalacrocorax,aristotelis,predicted size at mid-chick rearing date,mm,NA,65.5294,growth
645,SET005,NA,1994,-34.4139,Ammodytes,marinus,Phalacrocorax,aristotelis,predicted size at mid-chick rearing date,mm,NA,68.1176,growth
646,SET005,NA,1995,20.4945,Ammodytes,marinus,Phalacrocorax,aristotelis,predicted size at mid-chick rearing date,mm,NA,43.8824,growth
647,SET005,NA,1996,-14.7325,Ammodytes,marinus,Phalacrocorax,aristotelis,predicted size at mid-chick rearing date,mm,NA,64.5882,growth
648,SET005,NA,1997,-19.7505,Ammodytes,marinus,Phalacrocorax,aristotelis,predicted size at mid-chick rearing date,mm,NA,64.5882,growth
649,SET005,NA,1998,-14.6968,Ammodytes,marinus,Phalacrocorax,aristotelis,predicted size at mid-chick rearing date,mm,NA,62.2353,growth
650,SET005,NA,1999,-26.2574,Ammodytes,marinus,Phalacrocorax,aristotelis,predicted size at mid-chick rearing date,mm,NA,70,growth
651,SET005,NA,2000,-38.8271,Ammodytes,marinus,Phalacrocorax,aristotelis,predicted size at mid-chick rearing date,mm,NA,73.0588,growth
652,SET005,NA,2001,-21.1819,Ammodytes,marinus,Phalacrocorax,aristotelis,predicted size at mid-chick rearing date,mm,NA,62.9412,growth
653,SET005,NA,2002,-14.6155,Ammodytes,marinus,Phalacrocorax,aristotelis,predicted size at mid-chick rearing date,mm,NA,63.4118,growth
654,SET005,NA,2003,8.0655,Ammodytes,marinus,Phalacrocorax,aristotelis,predicted size at mid-chick rearing date,mm,NA,51.4118,growth
655,SET005,NA,2004,29.2358,Ammodytes,marinus,Phalacrocorax,aristotelis,predicted size at mid-chick rearing date,mm,NA,51.1765,growth
656,SET005,NA,2005,-19.5879,Ammodytes,marinus,Phalacrocorax,aristotelis,predicted size at mid-chick rearing date,mm,NA,62.4706,growth
657,SET005,NA,2006,2.084,Ammodytes,marinus,Phalacrocorax,aristotelis,predicted size at mid-chick rearing date,mm,NA,54.4706,growth
658,SET005,NA,1983,-36.6906,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,77.2189,growth
659,SET005,NA,1984,-45.755,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,78.6391,growth
660,SET005,NA,1985,-44.245,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,80.0592,growth
661,SET005,NA,1986,-23.0935,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,67.2781,growth
662,SET005,NA,1987,-24.6043,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,65.1479,growth
663,SET005,NA,1988,-23.5971,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,68.9349,growth
664,SET005,NA,1989,-29.1367,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,73.6686,growth
665,SET005,NA,1990,-35.1799,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,78.4024,growth
666,SET005,NA,1991,-28.6331,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,71.7751,growth
667,SET005,NA,1992,-26.1151,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,66.8047,growth
668,SET005,NA,1993,-20.5755,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,58.9941,growth
669,SET005,NA,1994,-32.1583,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,67.2781,growth
670,SET005,NA,1995,-18.5612,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,66.568,growth
671,SET005,NA,1996,-43.237,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,83.1361,growth
672,SET005,NA,1997,-52.806,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,77.2189,growth
673,SET005,NA,1998,-21.5827,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,65.858,growth
674,SET005,NA,1999,-24.6043,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,69.1716,growth
675,SET005,NA,2000,-40.719,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,73.9053,growth
676,SET005,NA,2001,-38.705,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,68.4615,growth
677,SET005,NA,2002,-28.6331,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,71.5385,growth
678,SET005,NA,2003,-23.5971,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,68.2249,growth
679,SET005,NA,2004,11.1511,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,53.787,growth
680,SET005,NA,2005,-29.1367,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,65.6213,growth
681,SET005,NA,2006,-18.5612,Ammodytes,marinus,Rissa2,tridactyla,predicted size at mid-chick rearing date,mm,NA,63.0177,growth
682,SET005,NA,1983,-17.554,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,65.6962,growth
683,SET005,NA,1984,-29.1367,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,70.2532,growth
684,SET005,NA,1985,-17.554,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,65.1899,growth
685,SET005,NA,1986,-6.9784,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,59.3671,growth
686,SET005,NA,1987,-11.5108,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,59.8734,growth
687,SET005,NA,1988,-14.0288,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,63.4177,growth
688,SET005,NA,1989,-20.5755,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,69.2405,growth
689,SET005,NA,1990,-26.1151,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,72.7848,growth
690,SET005,NA,1991,-8.4892,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,60.8861,growth
691,SET005,NA,1992,-14.5324,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,62.4051,growth
692,SET005,NA,1993,-8.4892,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,56.8354,growth
693,SET005,NA,1994,-2.9496,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,57.3418,growth
694,SET005,NA,1995,1.5827,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,65.9494,growth
695,SET005,NA,1996,-17.0504,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,55.3165,growth
696,SET005,NA,1997,-27.1223,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,67.7215,growth
697,SET005,NA,1998,-8.4892,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,59.3671,growth
698,SET005,NA,1999,2.5899,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,54.0506,growth
699,SET005,NA,2000,-21.5827,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,66.2025,growth
700,SET005,NA,2001,-15.036,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,60.8861,growth
701,SET005,NA,2002,-12.0144,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,62.1519,growth
702,SET005,NA,2003,-5.4676,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,58.8608,growth
703,SET005,NA,2004,43.3813,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,48.2278,growth
704,SET005,NA,2005,-3.9568,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,57.3418,growth
705,SET005,NA,2006,7.6259,Ammodytes,marinus,Fratercula,arctica,predicted size at mid-chick rearing date,mm,NA,53.2911,growth
